Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Valid Triangle Number,valid-triangle-number,611,"Given an integer array nums, return the number of triplets chosen from the array that can make triangles if we take them as side lengths of a triangle. ","Array,Two Pointers,Binary Search,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,49.7,270227,134273,,2468,150,,259,3Sum Smaller
Shortest Distance in a Plane,shortest-distance-in-a-plane,612,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,63.1,47090,29715,,168,60,,,
Shortest Distance in a Line,shortest-distance-in-a-line,613,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,81.1,61858,50158,,250,35,,,
Second Degree Follower,second-degree-follower,614,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,35.5,110233,39114,,117,697,,,
Average Salary: Departments VS Company,average-salary-departments-vs-company,615,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,56.2,45737,25702,,175,59,,1641,Countries You Can Safely Invest In
Add Bold Tag in String,add-bold-tag-in-string,616,,"Array,Hash Table,String,Trie,String Matching","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI3,VG9waWNUYWdOb2RlOjYxMDUy",Medium,48.1,154253,74254,,899,153,,"56,591","Merge Intervals,Tag Validator"
Merge Two Binary Trees,merge-two-binary-trees,617,"You are given two binary trees root1 and root2. Imagine that when you put one of them to cover the other, some nodes of the two trees are overlapped while the others are not. You need to merge the two trees into a new binary tree. The merge rule is that if two nodes overlap, then sum node values up as the new value of the merged node. Otherwise, the NOT null node will be used as the node of the new tree. Return the merged tree. Note: The merging process must start from the root nodes of both trees. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Easy,77.9,707017,550478,,6402,241,,,
Students Report By Geography,students-report-by-geography,618,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,63.3,25450,16105,,120,132,,,
Biggest Single Number,biggest-single-number,619,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,47.4,94832,44956,,116,106,,,
Not Boring Movies,not-boring-movies,620,"Table: Cinema  Write an SQL query to report the movies with an odd-numbered ID and a description that is not ""boring"". Return the result table ordered by rating in descending order. The query result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,72.5,251796,182573,,478,362,,,
Task Scheduler,task-scheduler,621,"Given a characters array tasks, representing the tasks a CPU needs to do, where each letter represents a different task. Tasks could be done in any order. Each task is done in one unit of time. For each unit of time, the CPU could complete either one task or just be idle. However, there is a non-negative integer n that represents the cooldown period between two same tasks (the same letter in the array), that is that there must be at least n units of time between any two same tasks. Return the least number of units of times that the CPU will take to finish all the given tasks. ","Array,Hash Table,Greedy,Sorting,Heap (Priority Queue),Counting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYy",Medium,54.4,610179,332057,,6262,1206,,"358,778,2084","Rearrange String k Distance Apart,Reorganize String,Maximum Number of Weeks for Which You Can Work"
Design Circular Queue,design-circular-queue,860,"Design your implementation of the circular queue. The circular queue is a linear data structure in which the operations are performed based on FIFO (First In First Out) principle and the last position is connected back to the first position to make a circle. It is also called ""Ring Buffer"". One of the benefits of the circular queue is that we can make use of the spaces in front of the queue. In a normal queue, once the queue becomes full, we cannot insert the next element even if there is a space in front of the queue. But using the circular queue, we can use the space to store new values. Implementation the MyCircularQueue class: You must solve the problem without using the built-in queue data structure in your programming language. ","Array,Linked List,Design,Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0",Medium,48.6,349928,170144,,1642,170,,"859,1767","Design Circular Deque,Design Front Middle Back Queue"
Add One Row to Tree,add-one-row-to-tree,623,"Given the root of a binary tree and two integers val and depth, add a row of nodes with value val at the given depth depth. Note that the root node is at depth 1. The adding rule is: ","Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Medium,53.9,152978,82458,,1250,170,,,
Maximum Distance in Arrays,maximum-distance-in-arrays,624,,"Array,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3",Medium,41.6,85502,35531,,594,62,,,
Minimum Factorization,minimum-factorization,625,,"Math,Greedy","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE3",Medium,33.2,30354,10092,,119,99,,,
Exchange Seats,exchange-seats,626,"Table: Seat  Write an SQL query to swap the seat id of every two consecutive students. If the number of students is odd, the id of the last student is not swapped. Return the result table ordered by id in ascending order. The query result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,69.2,144301,99874,,652,354,,,
Swap Salary,swap-salary,627,"Table: Salary  Write an SQL query to swap all 'f' and 'm' values (i.e., change all 'f' values to 'm' and vice versa) with a single update statement and no intermediate temporary tables. Note that you must write a single update statement, do not write any select statement for this problem. The query result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,79.4,232201,184414,,847,492,,,
Maximum Product of Three Numbers,maximum-product-of-three-numbers,628,"Given an integer array nums, find three numbers whose product is maximum and return the maximum product. ","Array,Math,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,46.8,437389,204489,,2617,520,,152,Maximum Product Subarray
K Inverse Pairs Array,k-inverse-pairs-array,629,"For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j]. Given two integers n and k, return the number of different arrays consist of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 109 + 7. ",Dynamic Programming,VG9waWNUYWdOb2RlOjEz,Hard,37.3,66438,24766,,752,108,,,
Course Schedule III,course-schedule-iii,630,"There are n different online courses numbered from 1 to n. You are given an array courses where courses[i] = [durationi, lastDayi] indicate that the ith course should be taken continuously for durationi days and must be finished before or on lastDayi. You will start on the 1st day and you cannot take two or more courses simultaneously. Return the maximum number of courses that you can take. ","Array,Greedy,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDUw",Hard,35.7,157006,56052,,1903,54,"During iteration, say I want to add the current course, currentTotalTime being total time of all courses taken till now, but adding the current course might exceed my deadline or it doesn’t.

1. If it doesn’t, then I have added one new course. Increment the currentTotalTime with duration of current course. 2. If it exceeds deadline, I can swap current course with current courses that has biggest duration.
* No harm done and I might have just reduced the currentTotalTime, right? 
* What preprocessing do I need to do on my course processing order so that this swap is always legal?","207,210,2176","Course Schedule,Course Schedule II,Parallel Courses III"
Design Excel Sum Formula,design-excel-sum-formula,631,,"Graph,Design,Topological Sort","VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI2",Hard,41.6,26250,10917,,176,214,,,
Smallest Range Covering Elements from K Lists,smallest-range-covering-elements-from-k-lists,632,"You have k lists of sorted integers in non-decreasing order. Find the smallest range that includes at least one number from each of the k lists. We define the range [a, b] is smaller than range [c, d] if b - a < d - c or a < c if b - a == d - c. ","Array,Hash Table,Greedy,Sliding Window,Sorting,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw",Hard,58.4,109130,63761,,2094,36,,76,Minimum Window Substring
Sum of Square Numbers,sum-of-square-numbers,633,"Given a non-negative integer c, decide whether there're two integers a and b such that a2 + b2 = c. ","Math,Two Pointers,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx",Medium,34.6,382523,132443,,1360,462,,367,Valid Perfect Square
Find the Derangement of An Array,find-the-derangement-of-an-array,634,,"Math,Dynamic Programming","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz",Medium,41.2,20292,8361,,168,135,,,
Design Log Storage System,design-log-storage-system,635,,"Hash Table,String,Design,Ordered Set","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDcw",Medium,62.3,48020,29930,,416,174,,588,Design In-Memory File System
Exclusive Time of Functions,exclusive-time-of-functions,636,"On a single-threaded CPU, we execute a program containing n functions. Each function has a unique ID between 0 and n-1. Function calls are stored in a call stack: when a function call starts, its ID is pushed onto the stack, and when a function call ends, its ID is popped off the stack. The function whose ID is at the top of the stack is the current function being executed. Each time a function starts or ends, we write a log with the ID, whether it started or ended, and the timestamp. You are given a list logs, where logs[i] represents the ith log message formatted as a string ""{function_id}:{""start"" | ""end""}:{timestamp}"". For example, ""0:start:3"" means a function call with function ID 0 started at the beginning of timestamp 3, and ""1:end:2"" means a function call with function ID 1 ended at the end of timestamp 2. Note that a function can be called multiple times, possibly recursively. A function's exclusive time is the sum of execution times for all function calls in the program. For example, if a function is called twice, one call executing for 2 time units and another call executing for 1 time unit, the exclusive time is 2 + 1 = 3. Return the exclusive time of each function in an array, where the value at the ith index represents the exclusive time for the function with ID i. ","Array,Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE1",Medium,60.1,278303,167322,,1585,2374,,,
Average of Levels in Binary Tree,average-of-levels-in-binary-tree,637,,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Easy,68.6,385137,264160,,2921,230,,"102,107","Binary Tree Level Order Traversal,Binary Tree Level Order Traversal II"
Shopping Offers,shopping-offers,638,"In LeetCode Store, there are n items to sell. Each item has a price. However, there are some special offers, and a special offer consists of one or more different kinds of items with a sale price. You are given an integer array price where price[i] is the price of the ith item, and an integer array needs where needs[i] is the number of pieces of the ith item you want to buy. You are also given an array special where special[i] is of size n + 1 where special[i][j] is the number of pieces of the jth item in the ith offer and special[i][n] (i.e., the last integer in the array) is the price of the ith offer. Return the lowest price you have to pay for exactly certain items as given, where you could make optimal use of the special offers. You are not allowed to buy more items than you want, even if that would lower the overall price. You could use any of the special offers as many times as you want. ","Array,Dynamic Programming,Backtracking,Bit Manipulation,Memoization,Bitmask","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjMz,VG9waWNUYWdOb2RlOjYxMDc4",Medium,54.6,83312,45471,,983,633,,,
Decode Ways II,decode-ways-ii,639,"A message containing letters from A-Z can be encoded into numbers using the following mapping: To decode an encoded message, all the digits must be grouped then mapped back into letters using the reverse of the mapping above (there may be multiple ways). For example, ""11106"" can be mapped into: Note that the grouping (1 11 06) is invalid because ""06"" cannot be mapped into 'F' since ""6"" is different from ""06"". In addition to the mapping above, an encoded message may contain the '*' character, which can represent any digit from '1' to '9' ('0' is excluded). For example, the encoded message ""1*"" may represent any of the encoded messages ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", or ""19"". Decoding ""1*"" is equivalent to decoding any of the encoded messages it can represent. Given a string s consisting of digits and '*' characters, return the number of ways to decode it. Since the answer may be very large, return it modulo 109 + 7. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Hard,30.4,198609,60319,,1042,744,,"91,2091,2251","Decode Ways,Number of Ways to Separate Numbers,Number of Ways to Divide a Long Corridor"
Solve the Equation,solve-the-equation,640,"Solve a given equation and return the value of 'x' in the form of a string ""x=#value"". The equation contains only '+', '-' operation, the variable 'x' and its coefficient. You should return ""No solution"" if there is no solution for the equation, or ""Infinite solutions"" if there are infinite solutions for the equation. If there is exactly one solution for the equation, we ensure that the value of 'x' is an integer. ","Math,String,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1",Medium,43.3,74026,32029,,367,691,,"592,2328","Fraction Addition and Subtraction,Minimize Result by Adding Parentheses to Expression"
Design Circular Deque,design-circular-deque,859,Design your implementation of the circular double-ended queue (deque). Implement the MyCircularDeque class: ,"Array,Linked List,Design,Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0",Medium,57.2,73935,42296,,683,56,,"860,1767","Design Circular Queue,Design Front Middle Back Queue"
Design Search Autocomplete System,design-search-autocomplete-system,642,,"String,Design,Trie,Data Stream","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI3,VG9waWNUYWdOb2RlOjYxMDYz",Hard,48.2,230797,111264,,1738,118,,208,Implement Trie (Prefix Tree)
Maximum Average Subarray I,maximum-average-subarray-i,643,"You are given an integer array nums consisting of n elements, and an integer k. Find a contiguous subarray whose length is equal to k that has the maximum average value and return this value. Any answer with a calculation error less than 10-5 will be accepted. ","Array,Sliding Window","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjU1ODIx",Easy,43.5,322079,140016,,1565,156,,"644,2211","Maximum Average Subarray II,K Radius Subarray Averages"
Maximum Average Subarray II,maximum-average-subarray-ii,644,,"Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",Hard,35.2,48837,17206,,532,59,,643,Maximum Average Subarray I
Set Mismatch,set-mismatch,645,"You have a set of integers s, which originally contains all the numbers from 1 to n. Unfortunately, due to some error, one of the numbers in s got duplicated to another number in the set, which results in repetition of one number and loss of another number. You are given an integer array nums representing the data status of this set after the error. Find the number that occurs twice and the number that is missing and return them in the form of an array. ","Array,Hash Table,Bit Manipulation,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,41.3,400479,165255,,1865,554,,287,Find the Duplicate Number
Maximum Length of Pair Chain,maximum-length-of-pair-chain,646,"You are given an array of n pairs pairs where pairs[i] = [lefti, righti] and lefti < righti. A pair p2 = [c, d] follows a pair p1 = [a, b] if b < c. A chain of pairs can be formed in this fashion. Return the length longest chain which can be formed. You do not need to use up all the given intervals. You can select pairs in any order. ","Array,Dynamic Programming,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,55.6,192064,106828,,2190,100,,"300,491","Longest Increasing Subsequence,Increasing Subsequences"
Palindromic Substrings,palindromic-substrings,647,"Given a string s, return the number of palindromic substrings in it. A string is a palindrome when it reads the same backward as forward. A substring is a contiguous sequence of characters within the string. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,64.6,614298,396625,,6149,153,"How can we reuse a previously computed palindrome to compute a larger palindrome? If “aba” is a palindrome, is “xabax” and palindrome? Similarly is “xabay” a palindrome? Complexity based hint:
If we use brute-force and check whether for every start and end position a substring is a palindrome we have O(n^2) start - end pairs and O(n) palindromic checks. Can we reduce the time for palindromic checks to O(1) by reusing some previous computation?","5,516","Longest Palindromic Substring,Longest Palindromic Subsequence"
Replace Words,replace-words,648,"In English, we have a concept called root, which can be followed by some other word to form another longer word - let's call this word successor. For example, when the root ""an"" is followed by the successor word ""other"", we can form a new word ""another"". Given a dictionary consisting of many roots and a sentence consisting of words separated by spaces, replace all the successors in the sentence with the root forming it. If a successor can be replaced by more than one root, replace it with the root that has the shortest length. Return the sentence after the replacement. ","Array,Hash Table,String,Trie","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI3",Medium,61.9,152554,94448,,1483,152,,208,Implement Trie (Prefix Tree)
Dota2 Senate,dota2-senate,649,"In the world of Dota2, there are two parties: the Radiant and the Dire. The Dota2 senate consists of senators coming from two parties. Now the Senate wants to decide on a change in the Dota2 game. The voting for this change is a round-based procedure. In each round, each senator can exercise one of the two rights: Given a string senate representing each senator's party belonging. The character 'R' and 'D' represent the Radiant party and the Dire party. Then if there are n senators, the size of the given string will be n. The round-based procedure starts from the first senator to the last senator in the given order. This procedure will last until the end of voting. All the senators who have lost their rights will be skipped during the procedure. Suppose every senator is smart enough and will play the best strategy for his own party. Predict which party will finally announce the victory and change the Dota2 game. The output should be ""Radiant"" or ""Dire"". ","String,Greedy,Queue","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjM0",Medium,39.9,47213,18848,,426,302,,495,Teemo Attacking
2 Keys Keyboard,2-keys-keyboard,650,"There is only one character 'A' on the screen of a notepad. You can perform one of two operations on this notepad for each step: Given an integer n, return the minimum number of operations to get the character 'A' exactly n times on the screen. ","Math,Dynamic Programming","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz",Medium,52.3,188289,98493,,2550,157,How many characters may be there in the clipboard at the last step if n = 3? n = 7? n = 10? n = 24?,"651,1033","4 Keys Keyboard,Broken Calculator"
